Año;Tipo.UI;Cuadrante;Partida.Institucional;Institución;Programa.pptario;Clasificador;Partida.de.gastos;Programa/.Instrumento/.Concurso;Nombre.de.la.Iniciativa;Código;OSE.(NABS).Categoría;OSE.(NABS).Subcategoría;SE;Región;EG;ECC;MF;GBARD.M$.corriente;GBARD
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Antufen Seeds 2018: Investigación y desarrollo para la obtención de semillas de alta calidad y rendimiento;PI-2568;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;34222,80161;35557,49087
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Antufen Seeds 2018: Investigación y desarrollo para la obtención de semillas de alta calidad y rendimiento;PI-2568;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;5672,152378;5672,152378
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;PT&I 2017: proyectos de I+D;PI-2677;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;44349,26025;46078,8814
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;PT&I 2017: proyectos de I+D;PI-2677;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;38319,85116;38319,85116
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo y Obtención de nuevas variedades y selecciones de Berries;PI-2711;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;6358,076109;6606,041077
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Proyectos I+D Safedrill 2018;PI-2768;1. Exploración y explotación de la Tierra;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;4123,473876;4284,289357
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Programa de Innovación y Desarrollo Tecnológico para la Acuicultura Oceánica, Chile 2023;PI-2769;8. Agricultura;;Empresas;Los Lagos;sin EG;sin ECC;Asignación directa;113170,7952;117584,4562
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Programa de Innovación y Desarrollo Tecnológico para la Acuicultura Oceánica, Chile 2023;PI-2769;8. Agricultura;;Empresas;Los Lagos;sin EG;sin ECC;Asignación directa;205147,0135;205147,0135
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo y evaluación de híbridos de maíz con tolerancia a tendedura, NCLB y características superiores para ensilaje;PI-2895;8. Agricultura;;Empresas;O'Higgins;sin EG;sin ECC;Asignación directa;2653,225953;2756,701765
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;CAMA DE ESTABULACIÓN EN BASE A GEOMEMBRANA DE FILM DE BOLOS RECICLADO CON PROPIEDADES ANTIMICROBIANAS;PI-2985;8. Agricultura;;Empresas;Los Lagos;sin EG;sin ECC;Asignación directa;18216,06361;18926,49009
